State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
New York,Manhattan Times Square Hotel,New York,127,06/12/2020,03/22/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,The OYO Hotel Times Square,New York,40,06/12/2020,03/23/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"The Ritz-Carlton Hotel Co., LLC dba The Ritz- Carlton New York, Westchester",White Plains,183,06/11/2020,03/14/2020,Plant Closing,,,Mid-Hudson Region,Westchester,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,James New York Soho,New York,50,06/11/2020,03/17/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,The Yale Club of New York City,New York,231,06/11/2020,03/20/2020,Temporary Plant Closing,,,New York City,New York,Private Club,Unforeseeable business circumstances prompted by COVID- 19
New York,Hotel Beacon NYC (2130 Broadway) and the Beacon Bar,New York,92,06/11/2020,03/17/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,NoMo Soho Hotel,New York,133,06/11/2020,03/16/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hyatt Corporation dba Andaz Wall Street,New York,114,06/10/2020,03/28/2020,Plant Layoff/Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hyatt Corporation dba Hotel 50 Bowery,New York,67,06/10/2020,03/29/2020,Plant Layoff/Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hyatt Corporation dba Hyatt Centric Times Square,New York,221,06/10/2020,03/23/2020,Plant Layoff/Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hyatt Corporation dba Parker New York,New York,366,06/10/2020,03/28/2020,Plant Layoff/Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hyatt Corporation dba Grand Hyatt New York,New York,745,06/10/2020,03/22/2020,Plant Layoff/Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"The Philharmonic-Symphony Society of New York, Inc.",New York,98,06/10/2020,03/12/2020,Temporary Plant Closing,,,New York City,New York,Orchestra,Unforeseeable business circumstances prompted by COVID- 19
New York,Courtyard Management Corp. dba Courtyard Rye,Rye,35,06/10/2020,03/21/2020,Temporary Plant Layoff,,,Mid-Hudson Region,Westchester,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hyatt Corporation dba Park Hyatt,New York,264,06/10/2020,03/22/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hyatt Corporation dba Park South,New York,57,06/10/2020,03/29/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hyatt Corporation The Beekman,New York,105,06/10/2020,03/29/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
